Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6969433,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_BTSX,2016,,,,,,,77.7 [77.7-77.7],77.66853135,77.66054508,77.74489752,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7098092,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,78.5 [78.5-78.6],78.51577838,78.46210017,78.56945659,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7131632,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_BTSX,2017,,,,,,,77.6 [77.6-77.6],77.56192606,77.55792614,77.62760947,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7155708,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,SEX_MLE,2017,,,,,,,80.4 [80.3-80.4],80.39306635,80.33761841,80.4485143,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7218158,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_FMLE,2019,,,,,,,83.2 [83.1-83.2],83.186281,83.12496532,83.24759669,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7462540,WHOSIS_000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,83.2 [83.2-83.3],83.23920608,83.22768296,83.31699732,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7464720,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_FMLE,2016,,,,,,,83.0 [82.9-83.1],82.99511864,82.93398513,83.05625215,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7474753,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,85.0 [85.0-85.1],85.04064201,85.02887513,85.11295259,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7519908,WHOSIS_000001,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,78.9 [78.8-79.0],78.87413384,78.83963174,78.96917126,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7522709,WHOSIS_000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_FMLE,2017,,,,,,,81.4 [81.3-81.4],81.35287756,81.34014552,81.42344632,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
